Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
Which was the dominant pre-colonial empire in Nigeria?,medium,C,A. Mali Empire,B. Benin Empire,C. Oyo Empire,D. Songhai Empire
Who directed the popular Nollywood film 'Wedding Party'?,easy,B,A. Kunle Afolayan,B. Kemi Adetiba,C. Tunde Kelani,D. Izu Ojukwu
What was the cause of the Biafran War?,hard,B,A. Religious differences,B. Ethnic tensions,C. Colonial rule,D. Economic goods
Which artist sang the hit song 'Fall' in Nigeria?,easy,A,A. Davido,B. Burna Boy,C. Wizkid,D. Patoranking
Which region in Nigeria was formerly known as 'Biafra'?,medium,C,A. Northern Nigeria,B. Western Nigeria,C. Eastern Nigeria,D. Southern Nigeria
What instrument is Fela Kuti famously known for playing?,easy,D,A. Guitar,B. Drums,C. Trumpet,D. Saxophone
In which part of Nigeria do you find the Yoruba ethnic group?,easy,C,A. Northern,B. Eastern,C. Western,D. Southern
Which Nigerian celebrity is known as 'Mama Africa'?,medium,B,A. Omawumi,B. Yemi Alade,C. Tiwa Savage,D. Waje
Which genre is often fused with Afrobeats in Nigerian music?,medium,B,A. Jazz,B. Hip Hop,C. Reggae,D. Gospel
Who was Nigeria's first female Finance Minister?,medium,B,A. Kemi Adeosun,B. Ngozi Okonjo-Iweala,C. Diezani Alison-Madueke,D. Florence Ita Giwa
Who is known for popularizing Afrobeats worldwide?,easy,C,A. 2Baba,B. Burna Boy,C. Fela Kuti,D. Wizkid
Which kingdom built the ancient city walls known as the Benin Moats?,hard,B,A. Oyo,B. Benin,C. Ife,D. Kanem-Bornu
Which organ in the human body regulates blood sugar levels?,medium,A,A. Pancreas,B. Kidney,C. Spleen,D. Liver
What musical instrument is usually associated with Nigerian Fuji music?,medium,B,A. Guitar,B. Drums,C. Trumpet,D. Piano
What major geographical feature lies to the north of Nigeria?,hard,D,A. Sahara Desert,B. Atlantic Ocean,C. Niger River,D. Lake Chad
Which dance style originated from Nigeria?,medium,D,A. Salsa,B. Ballet,C. Azonto,D. Shaku Shaku
The abolition of which trade greatly affected Nigeria's economy in the 19th century?,medium,D,A. Oil trade,B. Spice trade,C. Salt trade,D. Slave trade
Who won the first Nigerian Idol competition?,hard,A,A. Yeka Onka,B. Timi Dakolo,C. Niniola,D. Vic O
Which Nigerian ethnic group is known for their bronze artworks?,medium,C,A. Igbo,B. Hausa,C. Benin,D. Yoruba
Which Nollywood actress is popularly referred to as 'Omosexy'?,easy,C,A. Genevieve Nnaji,B. Mercy Johnson,C. Omotola Jalade,D. Funke Akindele
What is the main feature of Nigeria's Northern climate?,medium,B,A. Tropical,B. Arid,C. Temperate,D. Humid
How does the human skin help in regulating body temperature?,medium,C,A. Through breathing,B. By absorbing sweat,C. By dilating blood vessels,D. Breaking down food
Which Nigerian artist is known for the hit song 'FIA'?,easy,B,A. Kizz Daniel,B. Davido,C. Burna Boy,D. Wizkid
Which ancient city in Nigeria was known for its earthwork structures?,hard,C,A. Ife,B. Kano,C. Benin,D. Zaria
The human body's digestive enzymes are primarily produced in which organ?,medium,C,A. Stomach,B. Liver,C. Pancreas,D. Gallbladder
Which Nigerian music award is considered one of the most prestigious in the country?,medium,C,A. Grammy,B. AMVCA,C. The Headies,D. BET Awards
Which Nigerian state has the largest oil reserves?,hard,B,A. Kano,B. Rivers,C. Delta,D. Lagos
Who was the first female Nigerian novelist to gain international recognition?,hard,B,A. Buchi Emecheta,B. Flora Nwapa,C. Sefi Atta,D. Chimamanda Ngozi Adichie
What is the title of Fela Kuti's album that was named after Lagos' airport?,hard,D,A. Zombie,B. Shakara,C. Sorrow Tears and Blood,D. VIP (Vagabonds in Power)
Which Nigerian city is often termed as the 'Heartbeat of Africa' due to its vibrant cultural scene?,medium,A,A. Lagos,B. Abuja,C. Port Harcourt,D. Jos
What kingdom was known for its early bronze casting in Nigeria?,hard,B,A. Oyo,B. Benin,C. Nri,D. Nupe
"In human biology, what is the function of platelets in the blood?",medium,C,A. Transport oxygen,B. Fight infections,C. Clot blood,D. Digest food
Which Nollywood film bagged 6 nominations at The FilmJoint Awards 2025?,easy,A,The Interrogation of Lotanna,Lionheart,King of Boys,7th Avenue
Who directed the film 'The Interrogation of Lotanna'?,medium,A,Reginald Jumbo,Ibukun Serah Adetoyinbo,Oreoluwa Obadofin,Mildred Okwo
What role does William Chinoyenem play in the film 'The Interrogation of Lotanna'?,medium,B,Lotanna,Captain Ardo,Zuru Nkwu,Commander Egwu
Which of these films was nominated for Best Indigenous Film (Nigeria) at The FilmJoint Awards 2025?,hard,A,The Interrogation of Lotanna,October 1,Living in Bondage,Half of a Yellow Sun
Which actor known for method acting starred in 'The Interrogation of Lotanna'?,medium,A,Anthony Nwahiri,Genevieve Nnaji,Nkem Owoh,Ramsey Nouah
Which Nigerian actress won the Africa Movie Academy Award for Best Actress in a Leading Role in 2012?,medium,C,Nse Ikpe-Etim,Omotola Jalade Ekeinde,Rita Dominic,Genevieve Nnaji
What Nigerian city is known as the 'Tin City'?,easy,A,Jos,Abuja,Lagos,Kano
Which label signed the internationally acclaimed Nigerian artist Burna Boy?,medium,A,Spaceship Records,MAVIN Records,Starboy Entertainment,DMW
What is the full name of the Nigerian singer known as Wizkid?,easy,A,Ayodeji Ibrahim Balogun,David Adedeji Adeleke,Oluwatobiloba Daniel Anidugbe,Adekunle Kosoko
Which Nigerian city is the commercial capital of the country?,easy,A,Lagos,Abuja,Port Harcourt,Kano
Which historical figure was the leader of the Sokoto Caliphate?,medium,A,Usman dan Fodio,Obasanjo,Azikiwe,Jaja of Opobo
Who was Nigeria's first indigenous Governor-General and later first President?,medium,A,Nnamdi Azikiwe,Tafawa Balewa,Ahmadu Bello,Obafemi Awolowo
Which Nigerian tribe is primarily known for its bronze sculptures?,medium,A,Benin,Yoruba,Igbo,Hausa
Which vitamin is mainly produced when the skin is exposed to sunlight?,easy,A,Vitamin D,Vitamin C,Vitamin B12,Vitamin A
The cerebrum is the largest part of which organ in the human body?,medium,A,Brain,Heart,Liver,Kidney
Which stage of the human digestive system is responsible for nutrient absorption?,medium,A,Small intestine,Stomach,Large intestine,Esophagus
Who is widely regarded as the pioneer of Afrobeats music?,easy,A,Fela Kuti,Wizkid,Burna Boy,Davido
The historical Nok culture was concentrated in which modern-day Nigerian state?,medium,C,Kaduna,Kano,Plateau,Lagos
Who is the female Nigerian singer known for the hit song 'Johnny'?,easy,B,Tiwa Savage,Yemi Alade,Seyi Shay,Tems
Who is known as the King of Nollywood?,medium,B,Genevieve Nnaji,Pete Edochie,Ramsey Nouah,RMD
What major river flows through Nigeria into the Atlantic Ocean?,easy,A,River Niger,River Nile,River Benue,River Congo
Which Nollywood film is often credited with shifting Nigerian films to a more global audience?,medium,D,Ije,Mirror Boy,Living in Bondage,Lionheart
Who was the first indigenous Nigerian posted to the highest position in the British civil service in pre-independence Nigeria?,hard,D,Nnamdi Azikiwe,Obafemi Awolowo,Bello Akure,Adetokunbo Ademola
Who was Nigeria's first female president of any association in the legal profession?,hard,B,Aloma Mukhtar,Folake Solanke,Remi Sonaiya,Ngozi Okonjo-Iweala
Which Afrobeats artist won the Best Global Music Album at the 2021 Grammy Awards?,easy,C,Wizkid,Davido,Burna Boy,Mr. Eazi
What is the title of Tunde Kelani’s film that explores Nigerian culture and uses stories from prominent Nigerian authors?,medium,B,Saworoide,Thunderbolt,The Figurine,Phone Swap
Nigerian artist Ben Enwonwu is famous for his painting of which notable figure?,hard,B,Nnamdi Azikiwe,Queen Elizabeth II,Fela Kuti,Agbani Darego
"In human anatomy, which system is responsible for defending the body from infection?",medium,B,Digestive System,Immune System,Respiratory System,Nervous System
Who became famous with the Nollywood movie 'Living in Bondage'?,medium,A,Kenneth Okonkwo,Genevieve Nnaji,Desmond Elliot,Olu Jacobs
The Oyo Empire was located in which region of modern Nigeria?,medium,C,Northern,Eastern,Western,Southern
"Which Nigerian music duo sang the hit song ""Do Me""?",easy,A,P-Square,Zule Zoo,Bracket,Styl Plus
What is the purpose of the human ribcage?,easy,C,Protect the brain,Support the body,Protect vital organs,Aid in digestion
Who is known as the first President of Nigeria after it became a republic?,medium,A,Nnamdi Azikiwe,Olusegun Obasanjo,Yakubu Gowon,Muhammadu Buhari
"Which movie is considered the breakthrough in Nollywood's storytelling, involving a complex thriller plot?",medium,B,October 1,The Figurine,Hostages,Thunderbolt
What is Sade Adu most famous for?,medium,C,Acting,Sculpting,Musical Performance,Writing
The Trans-Atlantic Slave Trade frequently departed from which Nigerian port town?,hard,B,Lagos,Calabar,Port Harcourt,Kano
Which Nigerian rapper is known for his phrase 'Back When'?,medium,C,MI Abaga,D'banj,Ice Prince,Vector
The Benin Empire was best known for which craft?,medium,C,Pottery,Painting,Bronze Work,Textiles
Which album launched Asa into global fame?,medium,C,Bed of Stone,Beautiful Imperfection,Asa,Lucid
What was the main reason for the Sokoto Caliphate's expansion?,hard,D,Trade,Agriculture,Military conquest,Religious Jihad
Who first sang the hit Afrobeats song 'Fall'?,easy,C,Burna Boy,Wizkid,Davido,Tiwa Savage
What is the Nigerian movie 'Phone Swap' primarily about?,medium,B,Family Drama,Romantic Comedy,Tragic Love,Science Fiction
Which artist released the album 'African Giant'?,easy,C,Wizkid,Tiwa Savage,Burna Boy,D'banj
The Ekiti Parapo wars were conflicts largely between which Nigerian groups?,hard,B,Igbo and Hausa,Yoruba states,Igbo and Yoruba,Fulani and Tiv
Which body part is primarily used for vision?,easy,D,Mouth,Hands,Nose,Eyes
Who starred as 'Aki' in the popular Nigerian comedy duo movie 'Aki na Ukwa'?,medium,A,Chinedu Ikedieze,Osita Iheme,Nkem Owoh,Sam Loco Efe
"In Nigerian history, what was the goal of the Niger Delta conflict?",hard,B,Independence from Nigeria,Resource control,Religious freedom,Educational reform
Who sang the popular Afrobeat song 'Ojuelegba'?,easy,B,Tekno,Wizkid,Burna Boy,Davido
What significant role did Queen Amina play in Nigerian history?,medium,B,Created Nigerian currency,Led military expansions,Founded Lagos,Wrote Nigeria's constitution
What was significant about the Nigerian city of Ife?,medium,A,Cradle of Yoruba civilization,Center of Nollywood,Largest trading port,Capital of Nigeria
Which artist popularized the dance move 'Shaku Shaku'?,medium,B,Naira Marley,Olamide,Zlatan,Wande Coal
Which duo is famous for the hit song 'Yori Yori'?,easy,A,Bracket,P-Square,Zule Zoo,Styl Plus
The Iron Age civilization of the Nok culture is best known for which of the following?,hard,C,Pottery,Bronze casting,Terracotta sculptures,Iron smelting
Who is known for the hit single 'Raba'?,medium,D,Tekno,DJ Spinall,Skiibii,DJ Shabsy
Which historical legacy is the city of Ile-Ife most known for?,hard,B,Traditional music,Yoruba origins,Colonial trade,Igbo migrations
Which Nollywood film sparked global attention for its multi-plot storyline involving a spirit figure?,medium,A,The Figurine,Isakaba,Living in Bondage,Last Burial
Which Nigerian musician is known for the hit song 'FEM'?,easy,C,A. Wizkid,B. Burna Boy,C. Davido,D. Tiwa Savage
Which Nollywood actress starred in the film adaptation of 'Half Of A Yellow Sun'?,hard,C,A. Omotola Jalade,B. Rita Dominic,C. Genevieve Nnaji,D. Funke Akindele
What is the term for the first ten amendments to the United States Constitution?,hard,B,A. The Charter,B. The Bill of Rights,C. The Articles,D. The Preamble
Which body part is responsible for producing insulin?,easy,B,A. Liver,B. Pancreas,C. Gallbladder,D. Spleen
Who is often called the 'Father of Afrobeat'?,medium,A,A. Fela Kuti,B. King Sunny Adé,C. Ebenezar Obey,D. Lagbaja
What was the significant historical event in Nigeria in 1967?,medium,B,A. A coup d'état,B. The Nigerian Civil War,C. Independence,D. The formation of ECOWAS
Which ancient city is known as the heart of Nigeria's Igbo nation?,hard,D,A. Kano,B. Ife,C. Onitsha,D. Nri
What do the alveoli in human lungs do?,medium,C,A. Pump blood,B. Filter toxins,C. Exchange gases,D. Produce hormones
Which Nollywood movie is known for its theme of royalty and betrayal?,medium,A,A. King of Boys,B. Living in Bondage,C. The Wedding Party,D. RattleSnake
What part of the brain controls voluntary motor functions?,medium,A,A. Cerebrum,B. Brainstem,C. Cerebellum,D. Medulla
Which artist known as 'Starboy' released the album 'Made in Lagos'?,easy,C,A. Davido,B. Olamide,C. Wizkid,D. Burna Boy
What was the name of the secessionist state in Nigeria during the Civil War?,hard,B,A. Togo,B. Biafra,C. Ghana,D. Benin
What is the major function of the cerebellum?,medium,B,A. Digest food,B. Control coordination,C. Pump blood,D. Filter toxins
Which Nigerian filmmaker is known for his work on 'Figurine'?,medium,A,A. Kunle Afolayan,B. Ramsey Nouah,C. Tunde Kelani,D. Genevieve Nnaji
Who was the first female Minister of Aviation in Nigeria?,hard,B,A. Oby Ezekwesili,B. Stella Oduah,C. Ngozi Okonjo-Iweala,D. Kemi Adeosun
What is the primary role of hemoglobin?,medium,B,A. Regulate body temperature,B. Transport oxygen,C. Fight infections,D. Digest fats
In which part of Nigeria did the Nok culture flourish?,hard,C,A. Western,B. Eastern,C. Northern,D. Southern
Which part of the human brain controls balance and movement?,medium,D,A. Medulla,B. Cerebrum,C. Brainstem,D. Cerebellum
What collaboration song between Beyoncé and a Nigerian artist became a global hit?,easy,C,A. Savage,B. Ginger,C. Brown Skin Girl,D. Duro
Which empire was known for its bronze sculptures in Nigeria?,medium,B,A. Oyo,B. Benin,C. Hausa,D. Sokoto
What mineral is mainly stored in the bones?,easy,B,A. Iron,B. Calcium,C. Zinc,D. Magnesium
Which ancient Nigerian kingdom was famous for iron production?,hard,C,A. Oyo,B. Ife,C. Nok,D. Nri
What structure in the cell is known as the powerhouse?,medium,B,A. Ribosome,B. Mitochondria,C. Nucleus,D. Cytoplasm
Which Nigerian artist released the debut album 'Superstar'?,easy,D,A. Burna Boy,B. Davido,C. Tiwa Savage,D. Wizkid
Which filmmaker is known for directing 'Living in Bondage'?,medium,B,A. Tchidi Chikere,B. Kenneth Nnebue,C. Tunde Kelani,D. Kunle Afolayan
What is the main function of the immune system?,easy,C,A. Produce energy,B. Remove waste,C. Protect against disease,D. Control movement
Who is the Nigerian musician known for the hit album 'African Giant'?,medium,B,A. Wizkid,B. Burna Boy,C. Davido,D. D'banj
Where is the historical city of Ile-Ife located?,medium,C,A. Northern Nigeria,B. Eastern Nigeria,C. Western Nigeria,D. Southern Nigeria
Which Nigerian song was famously remixed by Beyoncé in 'The Lion King: The Gift' album?,hard,D,A. Joro,B. Ojuelegba,C. Fall,D. Essence
Which civilization is credited with creating the famous Nok terracotta sculptures?,hard,C,A. Igbo,B. Yoruba,C. Nok,D. Benin
Which gland is known as the 'master gland' of the body?,medium,C,A. Thyroid,B. Adrenal,C. Pituitary,D. Pancreas
What group is Davido the founder of?,easy,B,A. Starboy Entertainment,B. DMW,C. YBNL,D. Mavin
Which Nigerian state is referred to as the 'Land of Promise'?,medium,A,A. Akwa Ibom,B. Lagos,C. Kaduna,D. Enugu
Which Nigerian artist was known for the song 'Oliver Twist'?,easy,B,A. Burna Boy,B. D'banj,C. Wizkid,D. P-Square
What art is the Benin Empire renowned for?,medium,C,A. Pottery,B. Weaving,C. Bronze casting,D. Sculpting
What is the function of platelets in the human body?,easy,B,A. Fight infection,B. Clot blood,C. Carry oxygen,D. Store nutrients
What was the main economic activity of the ancient Nok people?,hard,B,A. Fishing,B. Iron smelting,C. Weaving,D. Pottery
Which Nigerian singer collaborated with Drake on 'One Dance'?,medium,A,A. Wizkid,B. Burna Boy,C. P-Square,D. 2Baba
When did the first successful military coup occur in Nigeria?,hard,C,A. 1961,B. 1963,C. 1966,D. 1975
What is the role of the pancreas in the digestive system?,medium,D,A. Absorb nutrients,B. Produce bile,C. Neutralize acids,D. Produce digestive enzymes
Which Nollywood film is based on military intrigue and politics?,medium,C,A. Lionheart,B. RattleSnake,C. Saworoide,D. 30 Days in Atlanta
Who was the famous queen of the 19th-century Aja allies against the British?,hard,C,A. Queen Amina,B. Moremi,C. Queen Kambasa,D. Tinubu
What is the title of Davido's popular 2020 album?,medium,D,A. Thriller,B. Jesus Is King,C. Made in Lagos,D. A Better Time
Which Nigerian musician is known for his dance style 'Zanku'?,medium,B,A. Mayorkun,B. Zlatan Ibile,C. Naira Marley,D. Reekado Banks
Who is the Nigerian musician behind 'African Queen'?,medium,A,A. 2Baba,B. Olu Maintain,C. Duncan Mighty,D. D'banj
Which ancient Nigerian civilization is associated with bronze sculptures?,medium,B,A. Nok,B. Benin,C. Oyo,D. Igbo-Ukwu
What was the debut film of Nollywood actor Ramsey Nouah?,medium,C,A. Silent Night,B. Lionheart,C. Living in Bondage,D. King of Boys
Which Nigerian artist released the EP 'Sorry I'm Late'?,medium,B,A. Joeboy,B. Reekado Banks,C. Rema,D. Teni
What is the central theme of the movie 'The Wedding Party'?,easy,C,A. Royalty,B. Family drama,C. Wedding festivities,D. Political intrigues
Which ancient kingdom produced ivory carvings as its main art form?,hard,B,A. Benin,B. Igbo-Ukwu,C. Oyo,D. Nok
What is the primary role of bile in digestion?,medium,B,A. Digest carbohydrates,B. Break down fats,C. Absorb vitamins,D. Neutralize acids
Who is the Nigerian artist that won the MTV EMA for Best African Act in 2019?,medium,C,A. Tiwa Savage,B. Wizkid,C. Burna Boy,D. Yemi Alade
Which Nigerian nationalist was known for his promotion of Nigeria's independence?,medium,B,A. Ahmadu Bello,B. Nnamdi Azikiwe,C. Wole Soyinka,D. Femi Kuti
What is the function of the small intestine in the digestive system?,medium,B,A. Store bile,B. Absorb nutrients,C. Produce enzymes,D. Digest proteins
Which Nigerian leader was known as the Sardauna of Sokoto?,medium,B,A. Yakubu Gowon,B. Ahmadu Bello,C. Tafawa Balewa,D. Nnamdi Azikiwe
What is the primary function of the respiratory system?,medium,C,A. Circulate blood,B. Digest food,C. Exchange gases,D. Produce hormones
"Which Nigerian song features the line 'She no want designer, she no want Ferrari'?",medium,D,A. Ginger,B. Joro,C. On The Low,D. Case
What is the primary role of enzymes in the digestive system?,medium,B,A. Store energy,B. Catalyze reactions,C. Absorb nutrients,D. Produce hormones
Which Nigerian music video featured the Eiffel Tower in the background?,medium,A,A. Assurance,B. Fall,C. Fever,D. If
What is the function of the liver in the body?,medium,C,A. Circulate blood,B. Store nutrients,C. Filter toxins,D. Produce enzymes
Which Nigerian musician released the song 'On The Low'?,easy,B,A. Wizkid,B. Burna Boy,C. Davido,D. Tiwa Savage
Which ancient Nigerian site is known for its bronze art?,medium,B,A. Nok,B. Benin,C. Igbo-Ukwu,D. Oyo
What is the debut album of Nigerian artist Rema?,medium,C,A. Rema Raves,B. Rema Revolution,C. Rema EP,D. Rema Renegade
Who among the following was a famous Nigerian playwright and poet?,medium,A,A. Wole Soyinka,B. Chinua Achebe,C. Cyprian Ekwensi,D. Femi Osofisan
Which organ is responsible for regulating metabolism through hormone production?,medium,A,A. Thyroid,B. Pancreas,C. Liver,D. Spleen
Which film marked Genevieve Nnaji's directorial debut?,medium,A,A. Lionheart,B. The Wedding Party,C. Half of a Yellow Sun,D. 30 Days
Which year marked the start of Nigeria's civil war?,medium,C,A. 1957,B. 1960,C. 1967,D. 1972
What is the basic function of carbohydrates in the body?,easy,C,A. Build muscle,B. Produce enzymes,C. Provide energy,D. Store fats
Which Nigerian musician released an album titled 'Made in Lagos'?,easy,C,A. Burna Boy,B. Tiwa Savage,C. Wizkid,D. Davido
Which Nigerian king was the first to emerge from the Yoruba cultural group?,hard,C,A. Sango,B. Oranmiyan,C. Oduduwa,D. Obatala
Where did the Egba people migrate from before settling in present-day Abeokuta?,hard,B,A. Dahomey,B. Oyo,C. Ife,D. Nupe
Which vitamin is crucial for vision health?,easy,A,A. Vitamin A,B. Vitamin C,C. Vitamin D,D. Vitamin E
Which Nigerian musician released 'Jerusalema' in a collaboration?,medium,B,A. Master KG,B. Burna Boy,C. Wizkid,D. Niniola
Which ancient city is regarded as the cradle of the Yoruba race?,hard,C,A. Lagos,B. Ilorin,C. Ife,D. Ibadan
Which Nigerian artist had a feature on Drake's 'Views' album?,medium,B,A. Burna Boy,B. Wizkid,C. Davido,D. Olamide
What year did Lagos become a British colony?,hard,B,A. 1841,B. 1861,C. 1891,D. 1901
What is the primary role of the excretory system?,medium,C,A. Produce enzymes,B. Transport nutrients,C. Remove waste,D. Absorb minerals
Which Nigerian musician is known for his 'Marlian' fanbase?,medium,B,A. Olamide,B. Naira Marley,C. Zlatan,D. DJ Cuppy
Which Nigerian region is known for producing rubber?,medium,D,A. Northern,B. Western,C. Eastern,D. Southern
Which part of the body is involved in producing antibodies?,medium,C,A. Liver,B. Bones,C. White blood cells,D. Skin
Which Nigerian artist is known for being a member of the group P-Square?,easy,A,A. Mr P,B. Don Jazzy,C. D'banj,D. Phyno
Which organization was established to promote Yoruba culture and tradition?,medium,A,A. OPC,B. Afenifere,C. NLC,D. Arewa
What is the PH scale range of human stomach acid?,hard,A,A. 1-3,B. 4-6,C. 7-8,D. 9-11
Which Nigerian musician is known for his popular track 'Jaho'?,medium,A,A. Kizz Daniel,B. Joeboy,C. Tekno,D. Adekunle Gold
What is the main economic activity of the Niger Delta region?,medium,C,A. Agriculture,B. Fishing,C. Oil production,D. Mining
What is the purpose of hemoglobin in red blood cells?,medium,B,A. Absorb light,B. Carry oxygen,C. Digest sugars,D. Produce sound
Which Nollywood movie was directed by Kunle Afolayan and explores the theme of sibling rivalry?,medium,D,A. Citation,B. Phone Swap,C. October 1,D. The Figurine
"Which Nigerian artist released the hit song ""Essence"" featuring Tems?",medium,A,A. Wizkid,B. Burna Boy,C. Davido,D. Olamide
Which Nollywood actress is known for her role in the film 'Jenifa'?,easy,B,A. Genevieve Nnaji,B. Funke Akindele,C. Omotola Jalade-Ekeinde,D. Rita Dominic
What year did the Biafran War start in Nigeria?,hard,B,A. 1965,B. 1967,C. 1969,D. 1972
Who directed the acclaimed Nigerian film 'King of Boys'?,medium,B,A. Kunle Afolayan,B. Kemi Adetiba,C. Jeta Amata,D. Tunde Kelani
Which artist won the Grammy for Best Global Music Album in 2021 for 'Twice as Tall'?,medium,A,A. Burna Boy,B. Wizkid,C. Davido,D. Tiwa Savage
What historical event is celebrated in Nigeria on October 1st each year?,easy,B,A. Democracy Day,B. Independence Day,C. Children's Day,D. Workers' Day
"In human anatomy, what is the term for the voice box?",medium,B,A. Pharynx,B. Larynx,C. Trachea,D. Esophagus
Which Nigerian musician is famous for the song 'Ye'?,easy,A,A. Burna Boy,B. Davido,C. Wizkid,D. 2Baba
Which empire was known for its sophisticated architecture and art in what is now modern Nigeria before colonial times?,hard,C,A. Mali Empire,B. Songhai Empire,C. Benin Empire,D. Asante Empire
Which actress featured prominently in the Nollywood movie 'Lionheart'?,medium,B,A. Omotola Jalade,B. Genevieve Nnaji,C. Mercy Johnson,D. Ini Edo
What significant Nigerian historical event happened in 1976?,hard,B,A. Biafran War ended,B. Assassination of Murtala Mohammed,C. Nigeria became a Republic,D. Formation of ECOWAS
"Which famous Nigerian song does the phrase ""If I tell you say I love you oh"" come from?",medium,D,A. Fall,B. Soco,C. Ojuelegba,D. If
Who is the famous Nollywood actor known for his role in 'Living in Bondage'?,medium,D,A. Pete Edochie,B. Richard Mofe-Damijo,C. Nkem Owoh,D. Kanayo O. Kanayo
The historical Nok culture is best known for producing which type of artifacts?,hard,B,A. Stone tools,B. Terra cotta sculptures,C. Bronze plaques,D. Gold jewelry
Name the Nigerian actress who starred in the film '30 Days in Atlanta'.,easy,B,A. Mercy Johnson,B. Funke Akindele,C. Nse Ikpe-Etim,D. Ini Edo
Which King (oba) was notable for ruling Ile-Ife and the Yoruba cast bronze sculptures?,hard,D,A. Oba Eweka,B. Oba Oranyan,C. Oba Akenzua,D. Oba Oduduwa
"In basic biology, how many chambers does the human heart have?",easy,B,A. Two,B. Four,C. Three,D. Five
Which Nigerian artist is associated with the EME record label?,medium,A,A. Banky W,B. Davido,C. Burna Boy,D. Fireboy DML
For how many years did Nigeria's First Republic last?,hard,B,A. 5 years,B. 6 years,C. 8 years,D. 4 years
"Who performed the global hit ""Fall""?",medium,A,A. Davido,B. Olamide,C. Wizkid,D. Kiss Daniel
Which Nollywood actor is famous for the role in 'Osuofia in London'?,easy,C,A. Ken Erics,B. Chiwetalu Agu,C. Nkem Owoh,D. Desmond Elliot
"In the human body, what part is primarily responsible for filtering blood?",medium,B,A. Liver,B. Kidney,C. Pancreas,D. Spleen
Who won Nigeria's first Grammy award?,medium,B,A. Wizkid,B. Burna Boy,C. King Sunny Ade,D. Femi Kuti
Which Nigerian musician is also known as 2Face?,easy,C,A. Wande Coal,B. D'banj,C. 2Baba,D. Runtown
Which historic Nigerian city was known as a center of the slave trade?,hard,D,A. Abuja,B. Lagos,C. Benin City,D. Calabar
The human body contains how many pairs of chromosomes?,hard,D,A. 20,B. 21,C. 22,D. 23
Which Nollywood director is known for the film 'Half of a Yellow Sun'?,medium,B,A. Tunde Kelani,B. Biyi Bandele,C. Charles Novia,D. Kunle Afolayan
What does the Nigerian festival Durbar celebrate?,medium,B,A. End of harvest,B. End of Ramadan,C. New Year celebration,D. Independence Day
Who authored 'The Bride Price'?,medium,C,A. Chimamanda Adichie,B. Chinua Achebe,C. Buchi Emecheta,D. Wole Soyinka
The Yoruba deity associated with thunder and lightning is?,easy,C,A. Yemoja,B. Obatala,C. Sango,D. Ogun
Who became Nigeria's President in 1999 after military rule ended?,medium,B,A. Sani Abacha,B. Olusegun Obasanjo,C. Ibrahim Babangida,D. Shehu Shagari
Which Nollywood actress played the lead in 'Ije'?,easy,D,A. Mercy Johnson,B. Omotola Jalade,C. Rita Dominic,D. Genevieve Nnaji
Who is the Nigerian musician famous for the song 'Oliver Twist'?,easy,A,A. D'banj,B. Wizkid,C. Davido,D. Burna Boy
Which ancient Nigerian civilization is credited with the terra cotta sculptures?,medium,D,A. Benin,B. Ife,C. Igbo-Ukwu,D. Nok
What is the title of a popular Nigerian TV series that satirizes the education sector?,medium,A,A. Jenifa's Diary,B. Checkmate,C. New Masquerade,D. The Johnsons
Which Nigerian historical figure is known as the 'Lion of Africa'?,hard,D,A. Nnamdi Azikiwe,B. Tafawa Balewa,C. Obafemi Awolowo,D. Ahmadu Bello
Which Nigerian actress starred in the movie 'The Wedding Party'?,easy,B,A. Chika Ike,B. Adesua Etomi,C. Omoni Oboli,D. Tonto Dikeh
What is the common term for the clavicle?,easy,B,A. Knee cap,B. Collarbone,C. Shin bone,D. Spine
Which ancient kingdom is renowned for its bronze artworks?,medium,C,A. Oyo,B. Ife,C. Benin,D. Hausa
Which popular Nigerian singer is known as 'Mama Africa'?,easy,B,A. Simi,B. Yemi Alade,C. Asa,D. Tiwa Savage
The term 'Afrobeats' is primarily associated with which country's music scene?,easy,B,A. Ghana,B. Nigeria,C. South Africa,D. Kenya
Which historical structure in Nigeria is referred to as the great wall of Benin?,hard,C,A. Sungbo's Eredo,B. Kano City Walls,C. Walls of Benin,D. Oyo Walls
"In human anatomy, what is the function of red blood cells?",easy,B,A. Fight infection,B. Transport oxygen,C. Regulate body temperature,D. Produce hormones
Who is the Nollywood actor known for his role in the 'Aki na Ukwa' franchise?,medium,B,A. Osita Iheme,B. Chinedu Ikedieze,C. Pete Edochie,D. Nkem Owoh
Who played the role of Eniola Salami in the Nigerian movie 'King of Boys'?,medium,A,A. Sola Sobowale,B. Joke Silva,C. Ini Edo,D. Kate Henshaw
What is the primary function of the parietal lobe in the brain?,medium,C,A. Vision,B. Hearing,C. Sensory perception,D. Balance
Which sport is referred to as 'The Beautiful Game'?,easy,B,A. Basketball,B. Football,C. Cricket,D. Tennis
The Ife Kingdom is associated with which type of art?,medium,A,A. Bronze sculpture,B. Terra cotta sculpture,C. Stone carvings,D. Wood carvings
In which Nigerian city would you find the National Museum Lagos?,easy,C,A. Abuja,B. Port Harcourt,C. Lagos,D. Ibadan
Which Nigerian film director made the movie 'October 1'?,medium,A,A. Kunle Afolayan,B. Kemi Adetiba,C. Tunde Kelani,D. Charles Okafor
