Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
Which Nigerian singer is often referred to as the 'African Giant'?,medium,C,Davido,Wizkid,Burna Boy,2Baba
Fill in the blank: The _______ is responsible for regulating the body's temperature.,easy,A,Skin,Brain,Liver,Heart
"The Biafra War, a significant event in Nigerian history, occurred from 1967 to _______.",medium,C,1971,1975,1970,1980
This Nollywood actor is renowned for his role in the movie 'Lionheart'. Fill in the blank: _______ Okonjo-Iweala.,medium,A,Genevieve,Chiwetel,Nnaji,Nkem
Which part of the human brain is responsible for emotions and memory? Fill in the blank: The _______ is crucial for emotional processing.,hard,C,Cerebellum,Amygdala,Hippocampus,Thalamus
What year did Nigeria's civil war officially end?,hard,A,1970,1975,1980,1985
"This singer's real name is Ayo Balogun, known widely for his hit song 'Ojuelegba'. Fill in the blank: _______ Boy.",medium,A,Wiz,Burna,Davido,2Baba
Which Nigerian state was the first to establish a university?,hard,B,Lagos,Oyo,Enugu,Benue
This Nigerian singer is known for her style and hit songs like 'All Over'. Fill in the blank: _______ Alade.,medium,A,Yemi,Tiwa,Simi,Niniola
Which important national event is celebrated on Nigeria's Independence Day? Fill in the blank: Nigeria's _______ Day.,easy,B,Republic,Independence,Democracy,Unity
This actor played the character of 'Jibola' in the popular Nigerian series 'Tinsel'. Fill in the blank: _______ Afolayan.,medium,A,Kunle,Niyi,Bimbo,Ayo
This Nigerian musician is known for his philanthropic work and his hit song 'If'. Fill in the blank: _______ Adeleke.,medium,A,Davido,Wizkid,Burna Boy,2Baba
What is the term for the basic unit of life in the human body? Fill in the blank: The _______ is the smallest living unit.,easy,B,Tissue,Cell,Organ,System
What major act of resistance occurred in Nigeria in 1929? Fill in the blank: The _______ Women's War.,medium,C,Owerri,Abia,Aba,Enugu
Which Nollywood actress is known for her role in 'The Figurine'? Fill in the blank: _______ Nnaji.,medium,A,Genevieve,Omotola,Rita,Tonto
The human body contains how many major organ systems?,easy,C,8,10,11,12
Which event marked the end of colonial rule in Nigeria? Fill in the blank: The _______ of Nigeria.,medium,A,Independence,Civil War,Republic,Monarchy
This Nigerian singer is famous for her hit single 'All Over'. Fill in the blank: _______ Alade.,medium,A,Yemi,Tiwa,Simi,Tonto
What is the largest internal organ in the human body? Fill in the blank: The _______ is the largest internal organ.,easy,B,Lung,Liver,Heart,Kidney
Which Nigerian nationalist is known for his role in Nigeria's independence movement? Fill in the blank: _______ Azikiwe.,medium,A,Nnamdi,Obafemi,Ahmadu,Emeka
This comedian is known for his role in 'The Johnsons'. Fill in the blank: _______ Ebiye.,medium,A,Bovi,AY,Alibaba,Julius
Fill in the blank: The _______ is the organ responsible for breathing in humans.,easy,B,Heart,Lung,Liver,Kidney
Who sang the popular song 'Ye' released in 2018?,medium,B,Wizkid,Burna Boy,Davido,Olamide
The Nigerian Civil War began in which year?,hard,B,1965,1967,1970,1975
Fill in the blank: Nigeria's currency is called the _______.,easy,A,Naira,Cedi,Shilling,Dinar
Which Nigerian state is known as the 'Food Basket of the Nation'?,medium,B,Kogi,Benue,Enugu,Oyo
The skeletal system in humans consists of how many bones?,hard,A,206,198,250,180
Fill in the blank: The national animal of Nigeria is the _______.,easy,A,Eagle,Lion,Elephant,Tiger
In which year was Nigeria's first oil discovered?,medium,A,1956,1960,1970,1980
Fill in the blank: The most popular traditional music genre in Nigeria is _______.,easy,A,Highlife,Jazz,Rock,Blues
Who is the author of 'Things Fall Apart'?,medium,B,Wole Soyinka,Chinua Achebe,Ben Okri,Buchi Emecheta
The human body can be divided into how many main systems?,hard,C,5,10,11,12
Which Nigerian musician is known for the hit song 'Joro'?,medium,B,Tekno,Wizkid,Davido,Olamide
Which Nigerian movie won the Africa Magic Viewers' Choice Award for Best Film in 2017?,medium,B,The Wedding Party,Lionheart,October 1,Isoken
The human respiratory system includes the _______.,easy,B,Heart,Lungs,Kidneys,Liver
Fill in the blank: The famous Nigerian artist known for his unique style and hit song 'Soco' is _______.,medium,A,Wizkid,Davido,Olamide,Burna Boy
How many sections is the human brain divided into?,medium,C,2,3,4,5
Which empire was known to have existed in Nigeria before colonial rule?,hard,B,Mali Empire,Oyo Empire,Ghana Empire,Songhai Empire
Who is the Nigerian actor known for his role in 'The Wedding Party'?,medium,D,Richard Mofe-Damijo,Jim Iyke,Desmond Elliot,Adesua Etomi
What part of the human body is responsible for pumping blood?,easy,B,Brain,Heart,Lungs,Kidneys
"Fill in the blank: The Nigerian National Anthem begins with 'Arise, O _______ people'?",easy,A,Nigerian,African,Great,Noble
Which popular Nigerian artist is often referred to as 'Starboy'?,medium,B,Burna Boy,Wizkid,Davido,2Baba
The human skin is made up of how many layers?,easy,B,2,3,5,7
Fill in the blank: The largest city in Nigeria by population is _______.,easy,A,Lagos,Abuja,Port Harcourt,Kano
Which Nigerian singer is famous for the song 'If' released in 2017?,medium,B,Wizkid,Davido,Olamide,Flavour
The main function of red blood cells is to carry _______.,easy,A,Oxygen,Carbon Dioxide,Nutrients,Waste
The basic functional unit of the kidney is called the _______.,easy,B,Alveolus,Nephron,Neuron,Hepatocyte
The traditional attire of the Yoruba people is often called _______.,easy,B,Buba,Agbada,Isiagu,Kaba
Fill in the blank: _______ is known for the hit song 'Soco'.,easy,B,Rema,Wizkid,Davido,Olamide
Which event led to the Nigerian Civil War?,medium,A,Biafra Secession,Independence,Military Coup,Economic Crisis
Who is the producer of the popular movie 'The Wedding Party'?,medium,B,Kunle Afolayan,Mo Abudu,Jeta Amata,Toka McBaror
"The skin is comprised of three main layers: epidermis, dermis, and _______.",medium,A,Hypodermis,Epidermis,Subcutaneous,Reticular
The popular Nigerian artist known for the song 'If' is _______.,easy,B,Burna Boy,Davido,Olamide,Flavor
What was the first capital city of Nigeria before it was moved to Abuja?,medium,A,Lagos,Ibadan,Kaduna,Enugu
The Nollywood movie industry is primarily based in _______.,medium,A,Lagos,Abuja,Port Harcourt,Kano
During which period did Nigeria experience military rule?,hard,B,1920-1950,1966-1999,1975-1980,2000-2010
Who was the first female Nigerian filmmaker to win an international award?,hard,C,Jeta Amata,Amaka Igwe,Chinonye Chukwu,Mildred Okwo
What is the capital of the ancient kingdom of Benin?,medium,A,Benin City,Lagos,Ibadan,Abeokuta
What is the significance of the 1960 Nigerian Constitution?,hard,A,It granted independence,It established a republic,It ended military rule,It defined federalism
The _______ is responsible for regulating blood flow in the body.,easy,A,Heart,Liver,Kidney,Lungs
Fill in the blank: _______ is the first Nigerian artist to win a Grammy Award.,hard,C,Burna Boy,Wizkid,Femi Kuti,Davido
The song 'Ye' is a hit by which Nigerian artist?,easy,B,Wizkid,Burna Boy,Davido,Olamide
The _______ system in the human body is responsible for producing hormones.,medium,B,Nervous,Endocrine,Circulatory,Digestive
The Biafra Republic declared independence in which year?,medium,A,1967,1970,1965,1968
Which popular Nigerian movie features the character 'Jumoke'?,easy,A,The Wedding Party,Lionheart,The Figurine,30 Days in Atlanta
The Nigerian artist known for his unique dance style in music videos is _______.,easy,A,Davido,Patoranking,Wizkid,Flavour
The human body's smallest unit is the _______.,easy,C,Tissue,Organ,Cell,System
The popular TV series 'The Johnsons' is based on a _______.,easy,A,Family,School,Workplace,Community
The human brain is divided into two hemispheres: left and _______.,easy,B,Central,Right,Peripheral,Lateral
The first Nigerian to win the Nobel Prize in Literature is _______.,medium,B,Chinua Achebe,Wole Soyinka,Ben Okri,Nadine Gordimer
Which Nigerian artist is popular for his Afrobeat genre music?,medium,B,Wizkid,Fela Kuti,Davido,Olamide
The _______ War of 1967-70 was a significant event in Nigerian history.,hard,A,Biafran,Civil,World,Independence
The primary function of the small intestine is _______.,medium,B,Digestion,Absorption,Filtration,Secretion
Nigeria's current currency is called the _______.,easy,B,Dinar,Naira,Cedi,Dollar
Who is the Nigerian actress famous for her role in the movie 'Half of a Yellow Sun'?,medium,A,Genevieve Nnaji,Thandie Newton,Omotola Jalade-Ekeinde,Funke Akindele
The primary organ responsible for detoxification in the human body is the _______.,medium,A,Liver,Kidney,Pancreas,Spleen
The Nigerian Civil War ended in which year?,medium,A,1970,1975,1969,1972
Which Nigerian artist's real name is Ayo Balogun?,easy,A,Wizkid,Davido,Olamide,Burna Boy
Which Nigerian female artist is known for her song 'Joromi'?,medium,A,Yemi Alade,Tiwa Savage,Simi,Niniola
What was the primary reason for the establishment of the Lagos Colony in 1865?,hard,A,Trade,Slavery,Colonization,Missionary Work
Which movie features a character named 'Sola' and stars Adesua Etomi?,medium,A,The Wedding Party,The Set Up,Lionheart,30 Days in Atlanta
The city of Lagos was originally known by what name?,medium,A,Eko,Lagosia,Benin,Calabar
Which Nigerian artist is known for the album 'A Good Time' released in 2019?,easy,B,Wizkid,Davido,Burna Boy,Tekno
What is the main function of the red blood cells in the human body?,easy,B,Fighting infections,Carrying oxygen,Clotting blood,Regulating temperature
Who was the first Nigerian to win a Nobel Prize?,medium,A,Wole Soyinka,Chinua Achebe,Ngozi Okonjo-Iweala,Ben Okri
Which Nigerian movie won the Oscar for Best International Feature Film in 2020?,hard,B,The Wedding Party,Lionheart,Up North,The Figurine
What organ in the human body is primarily responsible for detoxifying chemicals?,medium,B,Kidney,Liver,Lungs,Pancreas
Fill in the blank: The _______ is known as the 'brain' of the body.,easy,C,spinal cord,heart,brain,lung
Which Nigerian film is noted for its groundbreaking use of the Yoruba language in cinema?,medium,A,Saworoide,The Figurine,Osuofia in London,The Wedding Party
What is the primary function of the skin in the human body?,easy,A,Protection,Digestion,Respiration,Circulation
The Biafran War in Nigeria lasted from which year to which year?,hard,A,1967-1970,1960-1963,1970-1975,1980-1985
Who is the CEO of the Nigerian music label Mavin Records?,medium,A,Don Jazzy,P-Square,Wizkid,Burna Boy
Which former Nigerian military ruler was overthrown in a coup in 1993?,hard,C,Sani Abacha,Muhammadu Buhari,Ibrahim Babangida,Olusegun Obasanjo
Who is the famous Nigerian comedian known for his 'Coco' character?,medium,D,Ali Baba,AY,Bovi,Basketmouth
The human body is regulated by a system known as the _______.,medium,A,endocrine system,nervous system,digestive system,respiratory system
Which Nigerian singer is known for her hit song 'Joromi'?,medium,D,Yemi Alade,Tiwa Savage,Simi,Niniola
Fill in the blank: The _______ is the organ responsible for breathing.,easy,B,heart,lungs,kidneys,liver
Which popular Nigerian TV show features a character named 'Jibola'?,medium,B,Tinsel,Jenifa's Diary,MTV Shuga,The Johnsons
The colon is a part of which system in the human body?,medium,B,Nervous system,Digestive system,Circulatory system,Respiratory system
What was the first country to recognize Nigeria's independence?,hard,C,United Kingdom,United States,Ghana,Soviet Union
Which event led to the Nigerian military coup in 1966?,hard,A,Political instability,Economic downturn,Civil unrest,Foreign intervention
Who directed the popular Nigerian movie 'The Wedding Party'?,medium,A,Kemi Adetiba,Kunle Afolayan,Izu Ojukwu,Niyi Akinmolayan
The song 'Bum Bum' was a major hit for which Nigerian artist?,easy,A,Timaya,Wizkid,Davido,2Baba
_______ is the main organ responsible for producing insulin.,medium,B,Liver,Pancreas,Kidney,Spleen
Which Nollywood actress starred in the film '30 Days in Atlanta'?,medium,C,Adesua Etomi,Funke Akindele,Genevieve Nnaji,Omotola Jalade-Ekeinde
What was the primary reason for the Nigerian independence movement?,medium,C,Economic gain,Cultural preservation,Political autonomy,Religious freedom
Fill in the blank: 'African Queen' was a hit song by _______.,easy,A,2Baba,Wizkid,P-Square,Flavour
The _______ is the body's defense against infection and disease.,medium,B,Nervous system,Immune system,Endocrine system,Skeletal system
In what year did Nigeria's first republic end?,hard,B,1963,1966,1974,1979
Who is known as the 'King of Afrobeats' in Nigeria?,medium,A,Fela Kuti,Wizkid,Davido,Burna Boy
_______ is the part of the brain responsible for coordination and balance.,medium,B,Cerebrum,Cerebellum,Brainstem,Thalamus
Which Nigerian leader was known for his role during the Biafran War?,hard,C,Nnamdi Azikiwe,Olusegun Obasanjo,Yakubu Gowon,Muhammadu Buhari
Fill in the blank: 'Johnny' is a popular song by _______.,easy,A,Yemi Alade,Simi,Tiwa Savage,Chidinma
The _______ is responsible for breathing in humans.,easy,B,Heart,Lungs,Stomach,Liver
What genre does the song 'Dorobucci' belong to?,easy,B,Rock,Afrobeats,Jazz,Hip Hop
_______ is the largest internal organ in the human body.,medium,B,Heart,Liver,Lungs,Kidney
In which year was Nigeria's first television broadcast?,hard,A,1959,1963,1970,1975
The popular Nigerian movie 'Lionheart' was produced by which actress?,medium,B,Nse Ikpe-Etim,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic
The _______ is the organ responsible for detoxifying chemicals in the body.,medium,B,Kidney,Liver,Pancreas,Spleen
The song 'Soco' features Wizkid alongside which other artists?,medium,B,Burna Boy,Terri,Olamide,Davido
_______ is the part of the eye responsible for controlling light entry.,easy,C,Cornea,Pupil,Iris,Lens
Which Nigerian city is known for its cultural heritage and festivals?,medium,D,Lagos,Abuja,Ibadan,Benin City
Fill in the blank: 'If' is a popular song by Nigerian artist _______.,easy,A,Davido,Wizkid,Olamide,Tekno
The _______ is the primary organ involved in digestion.,medium,B,Liver,Stomach,Pancreas,Spleen
What major event did Nigeria face in 1975?,hard,B,Civil War,Military coup,Independence,Constitutional reform
Which actress starred in the movie 'The Set Up'?,medium,B,Rita Dominic,Adesua Etomi,Genevieve Nnaji,Ini Edo
The _______ is known as the body's control center and is responsible for processing sensory information.,medium,B,Cerebellum,Cerebrum,Brainstem,Thalamus
Who was the first Nigerian to win a Grammy Award?,hard,B,Fela Kuti,Sade Adu,Wizkid,Burna Boy
Fill in the blank: 'Know You' is a hit song by Nigerian artist _______.,medium,C,Simi,Adekunle Gold,Omah Lay,Tems
_______ is the organ that filters waste from the blood.,easy,B,Heart,Kidney,Liver,Spleen
The first Nigerian Republic was established under which constitution?,medium,B,1946,1960,1979,1999
Which Nigerian singer is known for her powerful vocals and hit song 'All Over'?,medium,B,Yemi Alade,Tiwa Savage,Simi,Chidinma
Fill in the blank: The _______ is crucial for maintaining body temperature.,easy,A,Skin,Heart,Liver,Brain
The military regime of General Sani Abacha began in which year?,hard,A,1993,1996,1998,1999
Who is the lead actor in the film 'The Wedding Party'?,medium,A,Banky W,Adesua Etomi,Jim Iyke,Richard Mofe-Damijo
The _______ is the main organ responsible for filtering blood and producing urine.,medium,B,Liver,Kidney,Spleen,Gallbladder
Nigeria's national anthem was first adopted in which year?,medium,A,1978,1980,1999,2003
The popular song 'Joro' was released by which Nigerian artist?,medium,A,Wizkid,Davido,Burna Boy,Olamide
Fill in the blank: The __________ is the primary organ responsible for detoxifying chemicals in the human body.,medium,B,Kidney,Liver,Lung,Heart
"In what year did the Biafran War, also known as the Nigerian Civil War, officially start?",hard,B,1965,1967,1970,1969
Who was the first Nigerian female to win a Grammy Award?,medium,C,Ayo Balogun,Sade Adu,Angelique Kidjo,Nneka Egbuna
The __________ is the largest part of the human brain responsible for higher cognitive functions.,medium,C,Cerebellum,Brainstem,Cerebrum,Thalamus
Which notable Nigerian figure served as the first military ruler after independence?,hard,A,Yakubu Gowon,Olusegun Obasanjo,Muhammadu Buhari,Ibrahim Babangida
Who is often referred to as the 'Queen of Afrobeat'?,medium,A,Tiwa Savage,Yemi Alade,Beyoncé,Waje
Fill in the blank: The __________ is crucial for transporting oxygen throughout the body.,easy,D,Blood,Platelets,Plasma,Red blood cells
"What significant event happened in Nigeria on October 1, 1960?",easy,B,Civil War began,Independence Day,Constitution was adopted,First military coup
Which Nigerian artist is known for their hit song 'Johnny' released in 2013?,medium,A,Yemi Alade,Patoranking,Olamide,Kizz Daniel
The human body's __________ system includes organs such as the heart and blood vessels.,easy,B,Nervous,Circulatory,Digestive,Respiratory
Who is known for the role of 'Joke' in the popular Nigerian movie 'The Wedding Party'?,medium,A,Adesua Etomi,Funke Akindele,Osas Ighodaro,Tonto Dikeh
Fill in the blank: The __________ is essential for regulating body temperature.,easy,A,Skin,Liver,Kidney,Lung
During which year was the Nigerian constitution enacted?,hard,A,1979,1989,1999,2000
Which Nigerian film director is known for the movie 'The Figurine'?,medium,A,Kunle Afolayan,Izu Ojukwu,Tunde Kelani,Mildred Okwo
Fill in the blank: The __________ connects the brain to the rest of the body.,easy,A,Spinal cord,Nerves,Cranial nerves,Cerebellum
Which Nigerian event is celebrated every 1st of October?,easy,B,Democracy Day,Independence Day,Workers' Day,Eid el-Fitr
Who became the first female governor in Nigeria in 2019?,hard,B,Aisha Buhari,Ufuoma McDermott,Ify Onyegbule,Ifeanyi Okowa
Which popular Nigerian music group is known for their hit song 'Pana'?,medium,B,P-Square,Brackets,Choc Boiz,Sauti Sol
Fill in the blank: The __________ is responsible for the fight against infections in the human body.,easy,A,Immune system,Nervous system,Digestive system,Endocrine system
Fill in the blank: The __________ is a traditional Nigerian dish made from fermented locust beans.,medium,C,Ogbono,Iyan,Iru,Nkwobi
The __________ is the smallest bone in the human body located in the ear.,hard,B,Incus,Stapes,Malleus,Scaphoid
In what year was Nigeria’s first military coup?,hard,C,1960,1963,1966,1975
Which Nigerian singer is known for the song 'Duro'?,medium,C,Wande Coal,Olamide,Kizz Daniel,Tekno
Fill in the blank: The __________ is the organ that produces insulin.,medium,B,Liver,Pancreas,Kidney,Spleen
What is the name of the Nigerian currency?,easy,B,Cedi,Naira,Dalasi,Shilling
Which Nollywood actor featured in the movie '30 Days in Atlanta'?,medium,C,Jim Iyke,Ramsey Nouah,Ayo Makun,Desmond Elliot
Fill in the blank: The __________ is a vital organ for breathing.,easy,C,Liver,Stomach,Lung,Heart
Which Nigerian artist is known for their collaboration on the track 'Essence'?,medium,B,Burna Boy,Wizkid,Davido,Rema
Fill in the blank: The __________ is a key part of the digestive system that absorbs nutrients.,medium,B,Large intestine,Small intestine,Stomach,Pancreas
Who is the Nigerian artist behind the hit song 'Fia'?,medium,B,Olamide,Davido,Wizkid,Burna Boy
Fill in the blank: The __________ are known for their role in protecting the body against pathogens.,easy,B,Red blood cells,White blood cells,Platelets,Plasma
In which year did Nigeria's former president Goodluck Jonathan lose the election?,medium,B,2011,2015,2019,2023
Which Nigerian actor is popularly known for his role in 'Living in Bondage'?,medium,B,Pete Edochie,Kanayo O. Kanayo,Richard Mofe-Damijo,Nkem Owoh
Fill in the blank: The __________ is a muscle that pumps blood throughout the body.,easy,B,Lung,Heart,Liver,Kidney
What is the name of the Nigerian state known as the 'Center of Excellence'?,medium,A,Lagos,Abuja,Port Harcourt,Enugu
The smallest bone in the human body is found in the _______.,easy,B,hand,ear,foot,leg
_________ is known for the popular movie 'The Wedding Party'.,medium,D,Kunle Afolayan,Niyi Akinmolayan,Izu Ojukwu,Kemi Adetiba
Fill in the blank: The _______ is the part of the human brain responsible for regulating emotions.,hard,C,cerebellum,hypothalamus,amygdala,thalamus
In which year was Nigeria's civil war formally declared over?,medium,A,1970,1967,1969,1975
_________ was a prominent Nigerian writer known for his novel 'Things Fall Apart'.,medium,A,Chinua Achebe,Wole Soyinka,Buchi Emecheta,Ben Okri
The _______ is the center of the human body's circulatory system.,easy,B,lungs,heart,brain,liver
Which artist is known for the hit track 'Johnny' released in 2013?,medium,A,Yemi Alade,Simi,Tiwa Savage,Omawumi
The process by which the body converts food into energy occurs in the _______.,hard,B,stomach,liver,pancreas,intestines
_________ was Nigeria's first female Minister of Finance.,medium,A,Ngozi Okonjo-Iweala,Amina J. Mohammed,Oby Ezekwesili,Zainab Ahmed
Who became Nigeria's first president after independence?,medium,A,Nnamdi Azikiwe,Obafemi Awolowo,Ahmadu Bello,Yakubu Gowon
Which Nigerian filmmaker is known for the movie 'October 1'?,medium,A,Kunle Afolayan,Izu Ojukwu,Niyi Akinmolayan,Kemi Adetiba
_________ is known for the song 'Duduke' released in 2020.,easy,B,Waje,Simi,Teni,Tems
The _______ is the main organ involved in the respiratory system.,easy,B,heart,lungs,kidney,liver
The _______ plays a crucial role in detoxifying harmful substances in the body.,medium,B,spleen,liver,kidney,heart
Which Nigerian singer's real name is Ayo Balogun?,easy,A,Wizkid,Davido,Olamide,Burna Boy
Fill in the blank: The _______ is the organ that filters blood in the human body.,medium,C,heart,lung,kidney,spleen
Which event in Nigeria's history is referred to as the 'Biafran War'?,hard,B,World War II,Nigerian Civil War,Independence War,Colonial Resistance
_________ is known for the song 'African Queen'.,medium,A,2Baba,P-Square,D'banj,Wizkid
The _______ is the part of the digestive system where most nutrient absorption occurs.,easy,B,stomach,small intestine,large intestine,esophagus
Fill in the blank: The _______ is the primary organ for detoxification in the human body.,hard,C,pancreas,lungs,liver,stomach
The _______ is the part of the brain responsible for coordinating voluntary movements.,hard,B,cerebrum,cerebellum,brainstem,hypothalamus
Fill in the blank: The _______ is an important organ in the human immune system.,medium,A,spleen,heart,liver,kidney
_________ is known for the song 'Case' released in 2019.,easy,A,Teni,Simi,Yemi Alade,Waje
Which Nigerian politician was instrumental in the fight for independence?,hard,A,Nnamdi Azikiwe,Obafemi Awolowo,Ahmadu Bello,Michael Imoudu
Which actress is known for her role in 'Fifty'?,medium,B,Genevieve Nnaji,Nse Ikpe-Etim,Omotola Jalade,Rita Dominic
The _______ is a vital organ for digestion and metabolism.,hard,C,stomach,intestines,liver,gallbladder
In which year did Nigeria's independence movement peak?,medium,C,1945,1954,1960,1963
_________ is an artist known for the hit song 'Pana'.,medium,A,Tekno,Kizz Daniel,Olamide,Davido
The _______ is the part of the body that detects touch and pressure.,easy,A,skin,muscle,nerve,bone
Fill in the blank: The _______ is the organ that regulates blood sugar levels.,hard,B,heart,pancreas,liver,kidney
Which Nigerian musician is known for the song 'Aye'?,medium,B,Olamide,Davido,Wizkid,P-Square
The _______ is the main organ for filtering blood.,easy,B,heart,kidney,liver,lung
_________ is the title of a popular movie starring Funke Akindele.,medium,A,Jenifa,Fifty,The Wedding Party,Lionheart
In which year did Nigeria's military take over the government again after a civilian rule?,medium,A,1983,1993,1999,2003
Fill in the blank: The _______ is known for its role in the digestive process.,hard,C,liver,pancreas,stomach,intestines
Which artist is famous for the song 'Simisola'?,medium,A,Simi,Teni,Yemi Alade,Davido
This Nigerian city is known as the 'Centre of Excellence'.,easy,B,Ibadan,Lagos,Abuja,Port Harcourt
Which Nigerian actress played the lead role in the movie 'The Wedding Party'?,medium,B,Genevieve Nnaji,Adesua Etomi,Omotola Jalade,Rita Dominic
The process by which the body converts food into energy is known as _______.,easy,A,Metabolism,Digestion,Respiration,Circulation
This popular Nigerian singer is known for his unique blend of Afrobeats and pop music.,easy,A,Wizkid,Davido,Burna Boy,P-Square
Fill in the blank: The _______ Festival is celebrated annually in Lagos to promote Nigerian arts and culture.,medium,A,Eyo,Osun-Osogbo,Durbar,Calabar
This Nigerian actor is well-known for his role in the movie '30 Days in Atlanta'.,easy,B,Jim Iyke,Ayo Makun,Ramsey Nouah,Desmond Elliot
Which event is considered the first major political conference in Nigeria in 1954?,medium,A,London Constitutional Conference,National Conference,Abuja Conference,Enugu Conference
Who is the Nigerian musician known for the song 'Ye'?,easy,C,Olamide,Wizkid,Burna Boy,Davido
The brain is a part of which body system?,easy,A,Nervous system,Digestive system,Circulatory system,Endocrine system
This Nigerian film festival is renowned for showcasing African cinema.,medium,C,The Lagos Film Festival,The Abuja International Film Festival,The Africa International Film Festival,The Calabar Film Festival
The average adult human body has how many liters of blood?,easy,A,4-6 liters,1-3 liters,7-9 liters,10-12 liters
This Nigerian singer is known as the 'Queen of Afrobeats'.,medium,A,Tiwa Savage,Yemi Alade,Simi,Niniola
The lungs are responsible for which vital process?,easy,C,Digestion,Excretion,Respiration,Circulation
This Nollywood actor is known for his role in the 'Tinsel' TV series.,easy,B,Dakore Akande,Chris Attoh,Ebuka Obi-Uchendu,Adesua Etomi
Which Nigerian state is known for its rich cultural heritage and the Ogbono Festival?,medium,C,Kogi,Oyo,Anambra,Enugu
This Nigerian rapper is known for his hit song 'Rapper's Delight'.,medium,A,M.I Abaga,Olamide,Vector,Phyno
The skin has how many main layers?,easy,C,1,2,3,4
This Nigerian singer is famous for her song 'Johnny'.,easy,A,Yemi Alade,Tiwa Savage,Simi,Niniola
The average adult human brain weighs about how many grams?,medium,C,1000,1200,1400,1600
This Nigerian director is known for the movie 'The Figurine'.,medium,A,Kunle Afolayan,Jeta Amata,Izu Ojukwu,Toka McBaror
What was the original name of Nigeria before it was named Nigeria?,hard,A,Niger Coast Protectorate,Bight of Benin,British Nigeria,Niger Delta
This popular Nigerian comedian is known for his show 'Comedy Central'.,medium,B,Basketmouth,Ali Baba,Bovi,Ayo Makun
The human body has how many senses?,easy,A,5,6,7,8
This Nigerian singer is known for his unique fusion of traditional Yoruba music and hip-hop.,medium,A,Olamide,Wale,Wizkid,P-Square
The common name for the organ that filters blood is _______.,easy,A,Kidney,Liver,Spleen,Pancreas
This Nollywood actress is known for her role in 'The Figurine'.,medium,C,Genevieve Nnaji,Omotola Jalade,Rita Dominic,Adesua Etomi
This Nigerian artist is known for his unique blend of reggae and dancehall music.,medium,B,Burna Boy,Patoranking,Wizkid,Davido
Fill in the blank: The traditional attire of the Yoruba people is known as _______.,easy,C,Kente,Buba,Agbada,Aso Oke
Which Nigerian artist is known for the song 'Johnny' released in 2013?,medium,A,Yemi Alade,Tiwa Savage,Waje,Simi
The largest organ inside the human body is the _______.,medium,B,Heart,Liver,Lung,Brain
Fill in the blank: The _______ is the body's control center.,easy,C,Spinal Cord,Nervous System,Brain,Heart
What was Nigeria's first official currency?,medium,A,Pound,Naira,Dollar,Kobo
What event is commemorated on Nigeria's Independence Day?,medium,B,Annexation,Colonial Rule End,Republic Formation,Civil War Start
Fill in the blank: The _______ is a popular Nigerian dish made of mashed yam and vegetable sauce.,easy,B,Jollof Rice,Pounded Yam,Egusi,Fried Rice
Fill in the blank: The _______ is a common term for the Nigerian music genre that blends traditional and modern sounds.,medium,B,Highlife,Afrobeats,Gospel,Hausa
Which Nigerian singer is known for his collaboration with Beyoncé on the song 'Brown Skin Girl'?,medium,B,Davido,Wizkid,Olamide,Burna Boy
Fill in the blank: The popular Nigerian soup made from ground melon seeds is called _______.,easy,B,Ogbono,Egusi,Efo Riro,Banga
Which actor played the lead role in the movie 'Lionheart'?,medium,A,Genevieve Nnaji,Richard Mofe-Damijo,Desmond Elliot,RMD
What is the main function of the respiratory system?,easy,C,Circulation,Digestion,Breathing,Excretion
"Fill in the blank: The _______ is a popular fashion style among Nigerian women, characterized by intricate beadwork and colorful fabrics.",medium,B,Buba,Aso Ebi,Agbada,Iro and Buba
Which Nigerian state is known as the 'Gateway to the North'?,medium,A,Kwara,Ogun,Kaduna,Kano
Fill in the blank: The _______ is a popular Nigerian dish made from fermented beans.,easy,B,Gari,Moi Moi,Pounded Yam,Eba
Which Nigerian musician is known for his philanthropic work through the 'Davido Foundation'?,medium,C,Wizkid,Olamide,Davido,Burna Boy
What part of the human body is primarily affected by arthritis?,medium,B,Heart,Joints,Lungs,Muscles
The discovery of oil in Nigeria was made in which year?,hard,A,1956,1960,1970,1980
Who directed the Nigerian film 'The Figurine'?,medium,A,Kunle Afolayan,Iyiola Ayoade,Tunde Kelani,Niyi Akinmolayan
The main function of the large intestine is to _______.,medium,C,Absorb Nutrients,Digest Food,Store Waste,Produce Hormones
In which year did Nigeria become a member of the United Nations?,hard,A,1960,1965,1970,1975
Fill in the blank: The _______ is the organ responsible for the production of insulin.,medium,B,Liver,Pancreas,Kidney,Stomach
In which year did the Biafran War begin?,medium,A,1967,1970,1965,1975
Which Nigerian actor is known for his role in the Nollywood movie 'The Wedding Party'?,medium,C,Ramsey Nouah,Jim Iyke,Adesua Etomi,Rita Dominic
Who led Nigeria during the Civil War as the head of state?,medium,B,Olusegun Obasanjo,Yakubu Gowon,Mohammed Buhari,Nnamdi Azikiwe
Nigerian singer Burna Boy is associated with which music genre?,easy,B,Highlife,Afrobeats,Juju,Gospel
Which part of the human brain is responsible for regulating body temperature?,medium,B,Cerebellum,Hypothalamus,Cerebrum,Medulla Oblongata
